awardYear,category,adjustedPrizePerLaureate
2018,Peace,4500000
2018,Peace,4500000
2018,Physics,4500000
2018,Physics,3000000
2018,Physics,3000000
2018,Physiology or Medicine,3000000
2018,Physiology or Medicine,4500000
2019,Chemistry,3000000
2019,Chemistry,3000000
2019,Chemistry,3000000
2019,Economic Sciences,3000000
2019,Economic Sciences,3000000
2019,Economic Sciences,3000000
2019,Literature,9000000
2019,Peace,9000000
2019,Physics,3000000
2019,Physics,3000000
2019,Physics,3000000
2019,Physiology or Medicine,3000000
2019,Physiology or Medicine,3000000
2019,Physiology or Medicine,3000000
2020,Chemistry,5000000
2020,Chemistry,5000000
2020,Economic Sciences,5000000
2020,Economic Sciences,5000000
2020,Literature,10000000
2020,Peace,10000000
2020,Physics,3333333.333
2020,Physics,3333333.333
2020,Physics,3333333.333
2020,Physiology or Medicine,3333333.333
2020,Physiology or Medicine,3333333.333
2020,Physiology or Medicine,3333333.333
2021,Chemistry,5000000
2021,Chemistry,5000000
2021,Economic Sciences,3333333.333
2021,Economic Sciences,3333333.333
2021,Economic Sciences,3333333.333
2021,Literature,10000000
2021,Peace,5000000
2021,Peace,5000000
2021,Physics,3333333.333
2021,Physics,3333333.333
2021,Physics,3333333.333
2021,Physiology or Medicine,5000000
2021,Physiology or Medicine,5000000
